"id";"CIF/NIF/NIE";"No Identificacion RII";"Titular";"Denominacion/Rotulo del establecimiento";"Direccion";"Municipio";"Localidad";"Provincia";"CP";"Telefono";"Email";"Fax";"URL";"Actividad Principal";"Descripcion Actividad Principal";"Actividades Secundarias";"Descripcion Actividades Secundarias"
"3469";"B31681521";"15-A-222-00014355";"COMPOSITES BAZTAN SL";"COMPOSITES BAZTAN S.L.";"Polígono industrial Zaldubia. Ctra. Pamplona-Dantzarinea";"BAZTAN";"Irurita";"Navarra";"31730";"948581824";"mail@nodisponible.es";;;"22.22";"Fabricación de envases y embalajes de plástico";;
"3470";"B31684756";"15-A-256-00010650";"MECANIZADOS IRURZUN SL";"MECANIZADOS IRURZUN";"Industrial Akaborro Nave 6";"IRURTZUN";"Irurtzun";"Navarra";"31860";"948600433";"adminsitracion@mecanizadosirurzun.com";"948600433";;"25.62";"Ingeniería mecánica por cuenta de terceros";;
"3471";"B31688336";"15-A-162-00050353";"INDUSTRIAL TONELERA NAVARRA SL";"INDUSTRIAL TONELERA NAVARRA SL";"POLIGONO INDUSTRIAL LA MOYUELA S/N  ";"MONTEAGUDO";"Monteagudo";"Navarra";"31522";"948843104";"info@toneleriaintona.com";"948816721";;"16.24";"Fabricación de envases y embalajes de madera";;
"3472";"B31695661";"15-A-255-00051821";"PERFIL-ESPAL S.L.";"PERFIL ESPAL, S.L.";"Pol. Ind Comarca II, C/A nº 19";"GALAR";"Barbatáin";"Navarra";"31191";"948321620";"perfilespal@perfilespal.com";"948321621";;"25.5";"Forja, estampación y embutición de metales: metalurgia de polvos";;
"3473";"B31695794";"15-A-473-00052458";"ESTACION DE SERVICIO CASTILLO DE MARCILLA SL";"EE.SS. CASTILLO DE MARCILLA, S.L.";"Avda de la Estación, 62";"MARCILLA";"Marcilla";"Navarra";"31340";"609628292";"piudo2@gmail.com";"948711450";;"47.3";"Comercio al por menor de combustible para la automoción en establecimientos especializados";;
"3474";"B31698442";"15-A-383-00052923";"DESGUACES TAFALLA SL";"DESGUACES TAFALLA S.L.L.";"Ctra Estella s/n";"TAFALLA";"Tafalla";"Navarra";"31300";"948702730";"desguacestafalla@hotmail.com";;;"38.31";"Separación y clasificación de materiales";;
"3475";"B31700636";"15-A-289-00051512";"MOLDEFLOR AGUSTINOS 2000 SL";"MOLDEFLOR AGUSTINOS 2000, S.L.";"Pol. Ind. Comarca 1, Parc C3, C/L nº 9";"ORKOIEN";"Orkoien";"Navarra";"31160";"948142874";"mail@nodisponible.es";"948128378";;"28.99";"Fabricación de otra maquinaria para usos específicos no clasificado en otra parte";;
"3476";"B31705650";"15-A-255-00050448";"TORNEADOS TUDELA GLM SL";"TORNEADOS TUDELA GLM, S.L.";"Pol. Ind. Municipal, Vial A";"TUDELA";"Tudela";"Navarra";"31500";"948402013";"torneadosglm@terra.es";"948402361";;"25.5";"Forja, estampación y embutición de metales: metalurgia de polvos";;
"3477";"B31706443";"15-A-473-00052420";"TRADISNA SERVICIOS ASOCIADOS SL";"TRADISNA SERVICIOS ASOCIADOS, S.L.U.";"Ciudad del Transporte, C/ Olite, s/n";"NOÁIN (VALLE DE ELORZ)/NOAIN (ELORTZIBAR)";"Imárcoain";"Navarra";"31119";"948314212";"contabilidad@tradisnacoop.com";"948314217";;"47.3";"Comercio al por menor de combustible para la automoción en establecimientos especializados";;
"3478";"B31706682";"15-A-433-00050318";"COVER J.J. MORENO SL";"COVER J.J. MORENO, S.L.";"Maestros Organeros, 8";"LERÍN";"Lerín";"Navarra";"31260";"948530655";"gerencia1@coverjjmoreno.es";"948530656";;"43.34";"Pintura y acristalamiento";;
"3479";"B31707813";"15-A-432-00051613";"HEREDEROS DE EZEQUIEL GARCIA SL";"HEREDEROS DE EZEQUIEL GARCIA, S.L.";"Pol. Industrial II, C/E, s/n";"CINTRUÉNIGO";"Cintruénigo";"Navarra";"31592";"948811060";"mail@nodisponible.es";"948815064";;"43.29";"Otras instalaciones en obras de construcción";;
"3480";"B31712136";"15-A-251-00050463";"MUROS ALUMINIO Y CRISTAL SL";"MUROS ALUMINIO Y CRISTAL, S.L.";"Polígono Industrial II";"CINTRUÉNIGO";"Cintruénigo";"Navarra";"31592";"948815100";"silviagarcia@muralcris.com";"948815431";;"25.12";"Fabricación de carpintería metálica";;
"3481";"A28003119";"15-A-467-00052215";"CEPSA SAU";"GASOCENTRO TIEBAS";"Ctra N-121 Km 11,2";"TIEBAS-MURUARTE DE RETA";"Tiebas ";"Navarra";"31398";"948291771";"eva.garciam@cepsa.com";"948291773";;"46.71";"Comercio al por mayor de combustibles sólidos, líquidos y gaseosos, y productos similares";;
"3482";"B31715923";"15-A-432-00050345";"TALLERES GILGAR SL";"TALLERES GILGAR, S.L.";"Polígono Ipertegui II, Nave 61";"ORKOIEN";"Orkoien";"Navarra";"31160";"948326541";"talleresgilgar@talleresgilgar.com";"948325086";;"43.29";"Otras instalaciones en obras de construcción";;
"3483";"B31718075";"15-A-101-00051380";"NAVARPLUMA SL";"NAVARPLUMA, S.L.";"Ind. Arazuri-Orcoyen, C/B";"CENDEA DE OLZA/OLTZA ZENDEA";"Arazuri";"Navarra";"31170";"948181302";"administracion@navarpluma.com";"948182801";;"10.11";"Procesado y conservación de carne";;
"3484";"B31721541";"15-A-222-00015030";"BASF CONSTRUCTION CHEMICALS ESPAÑA SL";"BASF CONSTRUCCION CHEMICAL, S.L.";"Pol. Ind. Las Labradas, C/Aragon, M-16";"TUDELA";"Tudela";"Navarra";"31500";"948402767";"diego.marin-gil@basf.com";"948402462";;"22.22";"Fabricación de envases y embalajes de plástico";;
"3485";"B31726359";"15-A-292-00051506";"NUEVAS EMPRESAS DE MELIDA SL";"NUEVAS EMPRESAS DE MELIDA SL";"POLÍGONO MENDIKUR 14-16  ";"ORKOIEN";"Orkoien";"Navarra";"31160";"948321631";"irodriguez@serenasl.com";"948343337";;"29.2";"Fabricación de carrocerías para vehículos de motor: fabricación de remolques y semirremolques";;
"3486";"B31727506";"15-A-255-00050486";"WEHL & PARTNER IBERICA RAPID PROTOTYPING SL";"WEHL & PARTNER IBERICA, RAPID PROTOTYPING, S.L.";"Industrial Morea Sur Ampliación, C/D, naves 13-15";"BERIÁIN";"Beriáin";"Navarra";"31119";"948351098";"info@wehl-partner.com";"948351099";;"25.5";"Forja, estampación y embutición de metales: metalurgia de polvos";;
"3487";"B31729908";"15-A-331-00051602";"NAVAMOP 2001 SL";"NAVAMOP 2001, S.L.";"Polígono Talluntxe C/C, nº 34";"NOÁIN (VALLE DE ELORZ)/NOAIN (ELORTZIBAR)";"Noáin  ";"Navarra";"31110";"948290894";"mail@nodisponible.es";"948290893";;"33.12";"Reparación de maquinaria";;
"3488";"B31732266";"15-A-133-00052186";"ALMI MINI-ESCAVADORAS Y MAQUINARIA DE ALQUILER SLL";"ALMI, MINIEXCAVADORAS Y MAQUINARIA DE ALQUILER, S.L.L.";"Pol. Ind. Comarca 2, C/A nº 53";"GALAR";"Barbatáin";"Navarra";"31191";"948291964";"almi@almisll.com";"948291965";;"13.3";"Acabado de textiles";;
"3489";"B31732399";"15-A-212-00052544";"ARDENA PAMPLONA SL";"IDIFARMA DESARROLLO FARMACEUTICO, S.L.";"Pol. Ind. Mocholi, Plaza CEIN, 5 Nave B-14";"NOÁIN (VALLE DE ELORZ)/NOAIN (ELORTZIBAR)";"Noáin  ";"Navarra";"31110";"948214023";"aursua@idifarma.com";"948312359";;"21.2";"Fabricación de especialidades farmacéuticas";;
"3490";"B31733959";"15-A-433-00051787";"CRISTALERIA BRICOVIDRIO SL";"CRISTALERIA BRICOVIDRIO, S.L.";"Polígono Areta";"HUARTE/UHARTE";"Huarte/Uharte";"Navarra";"31620";"948333457";"juan@bricovidrio.es";"948331134";;"43.34";"Pintura y acristalamiento";;
"3491";"B31734221";"15-A-461-00051086";"SERVICIOS DOMINGO ISABEL CRISTINA Y MARTA SL";"SERVICIOS D.I.C.A., S.L.L.";"Polígono Industrial ""El Escopar""";"PERALTA/AZKOIEN";"Peralta/Azkoien";"Navarra";"31350";"0";"mail@nodisponible.es";;;"46.17";"Intermediarios del comercio de productos alimenticios, bebidas y tabaco";;
"3492";"B31735954";"15-A-261-00050325";"NAVARCABLE SL";"NAVARCABLE, S.L.";"Avda de la Paz, 90 bis";"PERALTA/AZKOIEN";"Peralta/Azkoien";"Navarra";"31350";"948753191";"navarcable@navarcable.com";"948751275";;"26.11";"Fabricación de componentes electrónicos";;
"3493";"B31738552";"15-A-241-00050637";"SINASE FERRALLA Y TRANSFORMADOS SL";"SINASE FERRALLA Y TRANSFORMADOS, S.L.";"P.I. Las Labradas Vial Comunidad Foral Navarra s/n";"TUDELA";"Tudela";"Navarra";"31500";"948848172";"sinase@sinase.es";"948820088";;"24.1";"Fabricación de productos básicos de hierro, acero y ferroaleaciones";;
"3494";"B31739634";"15-A-256-00050373";"TRATAMIENTOS CRIOGENICOS SL";"TRATAMIENTOS CRIOGENICOS, S.L.";"Pol. Ind. Ipertegui, 2 Nave 67";"ORKOIEN";"Orkoien";"Navarra";"31160";"948326792";"criogenicos@telefonica.net";"948310777";;"25.61";"Tratamiento y revestimiento de metales";;
"3495";"B31740574";"15-A-383-00014872";"IPARPET RECYCLING SL";"IPARPET RECYCLING, S.L.";"Iñurrista Industrialdea, P4-7";"LEITZA";"Leitza";"Navarra";"31880";"948510900";"iparpet@iparpet.com";"948510901";;"38.32";"Valorización de materiales ya clasificados";;
"3496";"B31742638";"15-A-222-00053555";"INYECCIONES PLASTICAS MECACONTROL SL";"INYECCIONES PLASTICAS MECACONTROL, S.L.";"Ctra Tudela-Tarazona, Km 10";"CASCANTE";"Cascante";"Navarra";"31520";"948844521";"carlos.sola@mecacontrol.com";"948844572";;"22.29";"Fabricación de otros productos de plástico";;
"3497";"B31742695";"15-A-473-00053255";"CARBURANTES DEL EBRO SL";"CARBURANTES DEL EBRO, S.L.";"Pol. Ind. San Adrián, parc.3 del proy. reparcelación de la UE-1 del AR-3";"SAN ADRIÁN";"San Adrián";"Navarra";"31570";"948831572";"jsuarez@gasomatica.com";;;"47.3";"Comercio al por menor de combustible para la automoción en establecimientos especializados";;
"3498";"B31744709";"15-A-239-00006782";"GRAFTECH IBERICA SL";"GRAFTECH IBERICA, S.L.";"Astrain, s/n";"CENDEA DE OLZA/OLTZA ZENDEA";"Ororbia ";"Navarra";"31171";"948321200";"fernando.layo@graftech.com";"948322184";;"23.99";"Fabricación de otros productos minerales no metálicos no clasificado en otra parte";;
"3499";"B31747116";"15-A-222-00051200";"PLASTICOS HIRICAS SL";"PLASTICOS HIRICAS, S.L.";"Ind. El Escopar, s/n";"PERALTA/AZKOIEN";"Peralta/Azkoien";"Navarra";"31350";"948751720";"carlos@hiricas.com";"948751721";;"22.29";"Fabricación de otros productos de plástico";;
"3500";"B31752033";"15-A-256-00052757";"DECORADOS ARTISTICOS ESPAÑOLES SL";"DECORADOS ARTISTICOS ESPAÑOLES, S.L.";"Pol. Ind. Cintruenigo, C/D-17";"CINTRUÉNIGO";"Cintruénigo";"Navarra";"31592";"948812729";"ifuensanta@grupodearte.com";"948812815";;"25.61";"Tratamiento y revestimiento de metales";;
"3501";"B31754674";"15-A-243-00052778";"ESTRUMETALICAS JUANZAR & ASOCIADOS SL";"ESTRUMETALICAS JUANZAR & ASOCIADOS, S.L.";"Pol. Ind. Barasoain, s/n";"BARÁSOAIN";"Barásoain";"Navarra";"31395";"948720517";"comercial@juanzar.com";"948720518";;"24.33";"Producción de perfiles en frío por conformación con plegado";;
"3502";"B31757958";"15-A-222-00051210";"EMBALAJES DE PAMPLONA SLU";"KNAUF MIRET SL - GALAR";"POLÍGONO COMARCA 02, C/F nº 16  ";"GALAR";"Barbatáin";"Navarra";"31191";"948316371";"pamplona@knauf.fr";"948316372";;"22.21";"Fabricación de placas, hojas, tubos y perfiles de plástico";;
"3503";"B31761067";"15-A-256-00051677";"RECUBRIMIENTOS DE LOGROñO SL";"RECUBRIMIENTOS DE LOGROÑO, S.L.";"Polígono Industrial La Granja Pc 259";"VIANA";"Viana";"Navarra";"31230";"948645207";"mail@nodisponible.es";"948645363";;"25.61";"Tratamiento y revestimiento de metales";;
"3504";"B31764376";"15-A-256-00005728";"TIRUÑA SL";"TIRUÑA, S.L.";"Pol. Ind. Ampliación Comarca I, C/L, nº 2";"ORKOIEN";"Orkoien";"Navarra";"31160";"948355120";"amarol@tiruna.com";"948355112";;"25.62";"Ingeniería mecánica por cuenta de terceros";;
"3505";"B31765415";"15-A-382-00053437";"CHIPALA MEDIOAMBIENTE SL";"CHIPALA MEDIOAMBIENTE SL";"Gebala, 15-17";"ESTELLA/LIZARRA";"Estella/Lizarra";"Navarra";"31200";"948111200";"medioambiente@chipala.es";;"www.chipala.es";"38.22";"Tratamiento y eliminación de residuos peligrosos";;
"3506";"B31768492";"15-A-331-00053123";"CARRETILLAS CORELLA SL";"CARRETILLAS CORELLA, S.L.";"Carretera de Rincón, s/n";"CORELLA";"Corella";"Navarra";"31591";"948781658";"mail@nodisponible.es";"948781659";;"33.19";"Reparación de otros equipos";;
"3507";"B31769516";"15-A-467-00052406";"DISTRIBUIDORA DE GASOLEOS MONREAL SL";"DISTRIBUIDORA DE GASOLEOS MONREAL SL";"CTRA.NACIONAL 121, KM.12";"TIEBAS-MURUARTE DE RETA";"Tiebas ";"Navarra";"31398";"948362027";"eva@gasoleosmonreal.com";;;"46.71";"Comercio al por mayor de combustibles sólidos, líquidos y gaseosos, y productos similares";;
"3508";"B31769649";"15-A-251-00051566";"TRANSFORMADOS METALICOS RICARTE CASAREJOS SL";"TRANSFORMADOS METALICOS RICARTE, S.L.";"Ind. El Escopar, C/B nº 9";"PERALTA/AZKOIEN";"Peralta/Azkoien";"Navarra";"31350";"948750977";"administracion@tmricarte.com";"948713128";;"25.12";"Fabricación de carpintería metálica";;
"3509";"B31772825";"15-A-241-00051549";"HIERROS Y SUMINISTROS LANDABEN SL";"HIERROS Y SUMINISTROS LANDABEN, S.L.";"P.I. Landaben C/A";"PAMPLONA/IRUÑA";"Pamplona/Iruña";"Navarra";"31012";"948281500";"jesuslopez@hlandaben.com";"948281515";;"24.1";"Fabricación de productos básicos de hierro, acero y ferroaleaciones";;
"3510";"B31772981";"15-A-243-00052073";"MECANICA DE PRECISION JOVEN SL";"MECANICA DE PRECISION JOVEN SL";"Polígono Ezcabarte, C/M, nº 40";"EZCABARTE";"Arre";"Navarra";"31194";"650350085";"mail@nodisponible.es";;;"24.34";"Trefilado en frío";;
"3511";"B31775232";"15-A-289-00051950";"SATENHOR SL";"SATENHOR, S.L.";"Pol. Ind. Zumurdiñeta";"ETXARRI-ARANATZ";"Etxarri-Aranatz";"Navarra";"31820";"948564194";"satenhor@terra.es";"948563765";;"28.92";"Fabricación de maquinaria para las industrias extractivas y de la construcción";;
"3512";"B31775729";"15-A-256-00051671";"VALENTIN APLICACIONES INDUSTRIALES SL";"VALENTIN APLICACIONES INDUSTRIALES, S.L.";"Ind. La Dehesa, Parc. 473 y 550 Polígono 6, calle B";"FITERO";"Fitero";"Navarra";"31593";"948844901";"alicia@vaisl.com";"948404712";;"25.61";"Tratamiento y revestimiento de metales";;
"3513";"B31776180";"15-A-473-00051693";"ESTACION DE SERVICIO ORCOYEN AGUSTINOS SL";"E.S. ORCOYEN AGUSTINOS, S.L.";"Pol. Ind. Comarca I, C/A nº 24";"ORKOIEN";"Orkoien";"Navarra";"31160";"948321194";"esagustinos@yahoo.es";"948321842";;"46.71";"Comercio al por mayor de combustibles sólidos, líquidos y gaseosos, y productos similares";;
"3514";"B31776180";"15-A-467-00052932";"ESTACION DE SERVICIO ORCOYEN AGUSTINOS SL";"E.S. ORCOYEN AGUSTINOS, S.L.";"Pol. Ind. Comarca I, C/A nº 24";"ORKOIEN";"Orkoien";"Navarra";"31160";"948321194";"esagustinos@yahoo.es";"948321842";;"46.71";"Comercio al por mayor de combustibles sólidos, líquidos y gaseosos, y productos similares";;
"3515";"B31778053";"15-A-181-00051517";"DIGITAL COPACTO SLL";"DIGITAL COPACTO, S.L.L.";"Polígono Industrial Mutilva Baja C/K Nave 40";"ARANGUREN";"Mutilva Baja/Mutiloabeiti ";"Navarra";"31192";"948248324";"pamplona@erniografico.com";"948238395";;"18.12";"Otras actividades de impresión y artes gráficas";;
"3516";"B31781297";"15-A-281-00051714";"COMPONENTES DE DIRECCION RECYLAN SL";"COMPONENTES DE DIRECCION RECYLAN, S.L.";"PARQUE EMPRESARIAL LA MUGA 1 B";"ORKOIEN";"Orkoien";"Navarra";"31160";"948321404";"agamarra@cieautomotive.com";;;"28.11";"Fabricación de motores y turbinas, excepto los destinados a aeronaves, vehículos automóviles y ciclomotores";;
"3517";"B95799664";"15-A-467-00052412";"ESERGUI DISTESER SL";"SUMOIL SAU";"Ctra NA-121, Km 9,4";"BERIÁIN";"Beriáin";"Navarra";"31398";"946365211";"amaiarivero@aviaenergias.es";;;"46.71";"Comercio al por mayor de combustibles sólidos, líquidos y gaseosos, y productos similares";;
"3518";"B31784895";"15-A-351-00053275";"ECOENERGIA NAVARRA SL";"NEOELECTRA SC ECOENERGIA NAVARRA";"Ctra Marcilla s/n";"ARTAJONA";"Artajo/Artaxo";"Navarra";"31140";"627948181";"rparodi@neoelectra.es";"948364506";;"35.19";"Producción de energía eléctrica de otros tipos";;
"3519";"B31787153";"15-A-432-00015052";"MECANIZADOS BEKA SL";"MECANIZADOS BEKA, S.L.";"P.I. Abaco Nave 13";"TAFALLA";"Tafalla";"Navarra";"31300";"948701213";"info@mecanizadosbeka.es";"948701213";;"43.29";"Otras instalaciones en obras de construcción";;
"3520";"B31787922";"15-A-181-00051586";"FORMAS SERIGRAFIA SLL";"FORMAS SERIGRAFIA, S.L.L.";"Polígono Industrial Noain-Esquíroz, C/G-37";"GALAR";"Esquíroz";"Navarra";"31191";"948316629";"formas@serigrafiaformas.com";"948316630";;"18.12";"Otras actividades de impresión y artes gráficas";;
"3521";"B31788490";"15-A-236-00051459";"CERRAMIENTOS TECNICOS DE HORMIGON SL";"CERRAMIENTOS TECNICOS DE HORMIGON, S.L.";"Pol. Ind. El Escopar, s/n";"PERALTA/AZKOIEN";"Peralta/Azkoien";"Navarra";"31350";"948716171";"ot@cerramientostecnicosdehormigon.com";"948754451";;"23.61";"Fabricación de elementos de hormigón para la construcción";;
"3522";"B31789563";"15-A-201-00053396";"MECANIZACIóN DE ESTRUCTURAS POLIMéRICAS SL";"MECANIZACION DE ESTRUCTURAS POLIMERICAS, S.L.";"POLIGONO LA VERGALADA, C/B, 1";"FALCES";"Falces";"Navarra";"31370";"948750465";"aitorsanjuanes@gmep.es";;;"20.16";"Fabricación de plásticos en formas primarias";;
"3523";"B31790587";"15-A-383-00052946";"GESCRAP NAVARRA SL";"GESCRAP NAVARRA, S.L.";"POLIGONO INDUSTRIAL MESETA DE SALINAS, PARCELA 3.1 D";"NOÁIN (VALLE DE ELORZ)/NOAIN (ELORTZIBAR)";"Noáin  ";"Navarra";"31110";"948368367";"e.gil@gescrap.com";"948368366";;"38.31";"Separación y clasificación de materiales";;
"3524";"B31796022";"15-A-282-00052087";"BANDAS Y PERFILES INGENIERIA SL";"BANDAS Y PERFILES INGENIERIA, S.L.L.";"Ctra Ulzama, Km 1,5";"BERRIOPLANO";"Berriosuso/Berriogoiti";"Navarra";"31195";"948303036";"banper@banper.com";"948303037";;"28.21";"Fabricación de hornos y quemadores";;
"3525";"B31796352";"15-A-222-00051093";"UNNOX NAVARRA CONCENTRADOS Y ADITIVOS SLU";"Unnox Navarra Concentrados y aditivos SLU";"Pol. Ind. Comarca 2, C/A, 53";"GALAR";"Esquíroz";"Navarra";"31191";"948290784";"beatrizerquiaga@ncasl.com";"948247248";;"22.22";"Fabricación de envases y embalajes de plástico";;
"3526";"B31800915";"15-A-581-00053532";"RODONA INDUSTRIA GRAFICA SL";"RODONA INDUSTRIA GRAFICA, S.L.";"Pol. Ind. Agustinos, C/ A, Nave D 12";"PAMPLONA/IRUÑA";"Pamplona/Iruña";"Navarra";"31013";"948351014";"alberto@rodona.com";;;"58.11";"Edición de libros";;
"3527";"B31802077";"15-A-241-00051177";"ANSABERE SURGICAL SL";"ANSABERE SURGICAL, S.L.";"PLAZA CEIN 5, NAVES A10 A12";"NOÁIN (VALLE DE ELORZ)/NOAIN (ELORTZIBAR)";"Noáin  ";"Navarra";"31110";"948311532";"ansabere@ansaberesurgical.com";"848426010";;"24.1";"Fabricación de productos básicos de hierro, acero y ferroaleaciones";;
"3528";"B31804925";"15-A-281-00051641";"ELCORO AUTOMOTIVE SL";"ELCORO AUTOMOTIVE, S.L.";"Ctra de Etxauri, 9";"ORKOIEN";"Orkoien";"Navarra";"31160";"948321598";"pyf@elcoroautomotive.com";"948321821";;"28.11";"Fabricación de motores y turbinas, excepto los destinados a aeronaves, vehículos automóviles y ciclomotores";;
"3529";"B31809031";"15-A-251-00053272";"METALISTERIA BARCO SL";"METALISTERIA BARCO S.L.";"Pol. Ind. Monte Hondo, Parcela 8.5";"MILAGRO";"Milagro";"Navarra";"31320";;;;;"25.12";"Fabricación de carpintería metálica";;
"3530";"B31810302";"15-A-473-00051906";"ESTACION DE SERVICIO LEZKAIRU SL";"ESTACION DE SERVICIO LEZKAIRU, S.L.";"Ctra Badostain, Km 2";"PAMPLONA/IRUÑA";"Pamplona/Iruña";"Navarra";"31006";"948292549";"fibiltzieta@hotmail.com";"948240864";;"47.3";"Comercio al por menor de combustible para la automoción en establecimientos especializados";;
"3531";"B31816804";"15-A-960-00051607";"IBARGOYEN PRIETO SL";"IBARGOYEN PRIETO, S.L.";"Barrio Zalain, 42 B";"BERA";"Bera";"Navarra";"31780";"948630100";"goxo@goxo.biz";"948630100";;"96.01";"Lavado y limpieza de prendas textiles y de piel";;
"3532";"B31821697";"15-A-162-00052083";"MENDIPAL SL";"MENDIPAL, S.L.";"Aparra, s/n";"OLÓRIZ/OLORITZ";"Mendívil";"Navarra";"31395";"948720304";"mendipal@hotmail.com";"948720279";;"16.24";"Fabricación de envases y embalajes de madera";;
"3533";"B31826050";"15-A-274-00052753";"BARBOLIGHT SL";"BARBOLIGHT, S.L.";"Pol. Ind. Mutilva Baja, C/D, nº 13";"ARANGUREN";"Mutilva Baja/Mutiloabeiti ";"Navarra";"31192";"902820713";"info@barbolight.com";"848426010";;"27.4";"Fabricación de lámparas y aparatos eléctricos de iluminación";;
"3534";"B31827066";"15-A-281-00014363";"TALLERES EBAKI SOLDADURAS SL";"TALLERES EBAKI SOLDADURAS SL";"PGNO. ARI. CAMINO ERIETE, 13 NAVE, 7  ";"CIZUR";"Paternáin";"Navarra";"31190";"948353152";"helena@talleresebaki.es";"948353502";;"28.11";"Fabricación de motores y turbinas, excepto los destinados a aeronaves, vehículos automóviles y ciclomotores";;
"3535";"B31828775";"15-A-257-00053311";"MECANICA ZABENS SL";"MECANICA ZABENS, S.L.";"Pol. Ind. Mocholi, C/Rio Elorz nº 13 F";"NOÁIN (VALLE DE ELORZ)/NOAIN (ELORTZIBAR)";"Noáin  ";"Navarra";"31110";"948318160";"mecanicazabens@yahoo.es";"948214020";;"25.73";"Fabricación de herramientas";;
"3536";"B31835150";"15-A-222-00012178";"TI AUTOMOTIVE PAMPLONA SL";"TI AUTOMOTIVE PAMPLONA, S.L.";"Pol.Ind. Comarca I, C/E";"BERRIOPLANO";"Berrioplano/Berriobeiti";"Navarra";"31195";"948302250";"iibarzo@es.tiauto.com";"948302417";;"22.22";"Fabricación de envases y embalajes de plástico";;
"3537";"B31836679";"15-A-256-00009916";"AUTO-MAQUINARIA ARANGUREN SL";"AUTO-MAQUINARIA ARANGUREN, S.L.";"P.I. Mutilva Baja C/N Nave 12";"ARANGUREN";"Mutilva Baja/Mutiloabeiti ";"Navarra";"31192";"948249051";"mail@nodisponible.es";"948233709";;"25.62";"Ingeniería mecánica por cuenta de terceros";;
"3538";"B31837867";"15-A-237-00052483";"MARMOLES Y GRANITOS GRAYKO SL";"MARMOLES Y GRANITOS GRAYKO, S.L.";"Pol. Ind. Ordoki, s/n";"BAZTAN";"Arizkun";"Navarra";"31713";"948453369";"grayko@terra.es";"948453109";;"23.7";"Corte, tallado y acabado de la piedra";;
"3539";"B31839103";"15-A-261-00052286";"MONTAJES ZAPARDI SL";"MONTAJES ZAPARDI, S.L.";"Bº Ibarrea, 8";"ALTSASU/ALSASUA";"Altsasu/Alsasua";"Navarra";"31800";"616492264";"montajeszapardi@yahoo.com";;;"26.11";"Fabricación de componentes electrónicos";;
"3540";"B31841380";"15-A-251-00052371";"BURDINOX SL";"BURDINOX, S.L.";"Pol. Ind. Noain-Esquiroz, C/R, Nave 12";"NOÁIN (VALLE DE ELORZ)/NOAIN (ELORTZIBAR)";"Noáin  ";"Navarra";"31110";"948312224";"burdinoxsl@gmail.com";"948318563";;"25.12";"Fabricación de carpintería metálica";;
"3541";"B31856552";"15-A-432-00053291";"VILLAR TRATAMIENTOS DE SUPERFICIES SL";"VILLAR TRATAMIENTOS DE SUPERFICIES SL";"POLÍGONO INDUSTRIAL LA NAVA PARCELA E-2  ";"OLITE/ERRIBERRI";"Olite/Erriberri";"Navarra";"31390";"948741383";"vitrasu@hotmail.com";;;"43.29";"Otras instalaciones en obras de construcción";;
"3542";"B71462659";"15-A-237-00052168";"CINDUGRANIT PRODUCCION SL";"CINDUGRANIT PRODUCCION SL";"Pol. Ind. II, C/C";"CINTRUÉNIGO";"Cintruénigo";"Navarra";"31592";"948116302";"administracion@cindugranit.es";"638840155";;"23.7";"Corte, tallado y acabado de la piedra";;
"3543";"B31870389";"15-A-473-00012696";"IRIGOYEN DE ZUDAIRE SL";"IRIGOYEN DE ZUDAIRE, S.L.";"San Antón, 55";"AMÉSCOA BAJA";"Zudaire ";"Navarra";"31272";"948539047";"mail@nodisponible.es";"948539041";;"47.3";"Comercio al por menor de combustible para la automoción en establecimientos especializados";;
"3544";"B31875800";"15-A-211-00052880";"3P BIOPHARMACEUTICALS SL";"3P BIOPHARMACEUTICALS, S.L.";"Ind. 1. parcela 747";"NOÁIN (VALLE DE ELORZ)/NOAIN (ELORTZIBAR)";"Noáin  ";"Navarra";"31110";"948346480";"marisa@3pbio.com";"948346702";;"21.1";"Fabricación de productos farmacéuticos de base";;
"3545";"B31879638";"15-A-292-00052455";"CARROCERIAS BV 2006 SL";"CARROCERIAS BV 2006, S.L.";"Miravalles, 9 A";"BERIÁIN";"Beriáin";"Navarra";"31191";"948368540";"carroceriasbv@carroceriasbv.com";"948310877";;"29.2";"Fabricación de carrocerías para vehículos de motor: fabricación de remolques y semirremolques";;
"3546";"B31891906";"15-A-242-00012236";"ZALAIN TRANSFORMADOS SL";"ZALAIN TRANSFORMADOS, S.L.";"Barrio de Zalain Zoco, s/n";"LESAKA";"Zalain Zoko";"Navarra";"31789";"948628100";"icrelgo@zalain.condesa.com";"948628104";"www.condesa.com";"24.2";"Fabricación de tubos, tuberías, perfiles huecos y sus accesorios, de acero";;
"3547";"B31899701";"15-A-245-00052394";"IMPLEMENTOS NAVARRA SL";"IMPLEMENTOS NAVARRA, S.L.";"Pol. Ind. Talluntxe, C/B, Nº 9";"NOÁIN (VALLE DE ELORZ)/NOAIN (ELORTZIBAR)";"Noáin  ";"Navarra";"31110";"948346386";"implementosnavarra@hotmail.com";"948318348";;"24.51";"Fundición de hierro";;
"3548";"B31920721";"15-A-432-00052690";"AUXILIARES CARLENA SL";"AUXILIARES CARLENA, S.L.";"Pol. Ind. Gargantua, C/A nº 6";"PERALTA/AZKOIEN";"Peralta/Azkoien";"Navarra";"31350";"948753363";"carlena@masbytes.com";"948753363";;"43.29";"Otras instalaciones en obras de construcción";;
